ID SCAFFOLD PROPERTY #GEN_TOTAL #GEN_OVERLAP AVGDIFF
STOCK1S-06405 c1ccc(OCCOc2ccc(Nc3c4ccccc4nc4ccccc34)cc2)cc1 6.589 30 5 0.535
STOCK1S-06407 O=C1O/C(=C\c2ccccc2)c2c(-c3ccccc3)ccc(-c3ccccc3)c21 6.689 30 7 0.619
STOCK1S-06414 C(=N/Cc1ccccc1)\c1ccc(N2N=C(c3ccccc3)CC2c2ccccc2)cc1 6.661 29 0 0.689
STOCK1S-06597 c1ccc(C2C3=C(CCCC3)N(c3ccccc3)C3=C2CCCC3)cc1 6.947 30 14 0.333
STOCK1S-06625 O=C(CN(CCCOc1ccccc1)CCCOc1ccccc1)NC(c1ccccc1)c1ccccc1 6.132 29 8 1.883
STOCK1S-06626 c1ccc(C(c2ccccc2)(c2ccccc2)c2ccc3c(c2)CCCN3)cc1 6.427 30 7 0.734
STOCK1S-06631 C1=C(c2ccccc2)N2c3ccccc3OC23CCCCC3C1c1ccccc1 6.610 30 0 0.387
STOCK1S-06860 C1=Cc2cc(C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc2NC1 6.508 30 9 0.683
STOCK1S-06895 c1ccc(CCNc2nc(NC3CCCCC3)cc3c2CN(Cc2ccccc2)CC3)cc1 6.039 24 0 1.418
STOCK1S-07115 O=C(Nc1ccccc1)/C(=C/c1c2ccccc2cc2ccccc12)NC(=O)c1ccccc1 6.403 28 11 0.709
STOCK1S-07219 O=C(Nc1cccc2ccccc12)NC1CN(CCc2ccccc2)C(=O)N1c1cccc2ccccc12 6.626 30 0 0.478
STOCK1S-07277 O=C(c1ccccc1)N1C(c2ccccc2)Oc2c(ccc3cccnc23)C1c1ccccc1 6.558 30 0 0.533
STOCK1S-07471 C1=C(c2ccccc2)N2c3ccccc3NC23CCCCC3C1c1ccccc1 6.644 30 0 0.849
STOCK1S-07485 C1=Cc2cc(C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc2NC1 6.508 30 11 0.644
STOCK1S-07629 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.098 30 11 0.967
STOCK1S-07670 c1ccc(-c2nc3c(c(N4CCCC4)n2)C2(CCCCC2)Cc2ccccc2-3)cc1 6.169 19 6 0.583
STOCK1S-07691 C1=C(c2ccccc2)N2c3ccccc3NC23CCCCC3C1c1ccccc1 6.644 30 0 0.56
STOCK1S-07834 O=c1c2ccccc2n(CCCN(Cc2ccccc2)Cc2ccccc2)c2ccccc12 6.247 30 5 1.509
STOCK1S-07848 O=C(c1ccccc1)[C@@H]1[C@@H](c2ccccc2)C[C@H]2C=Cc3ccc4ccccc4c3N21 6.481 30 3 0.727
STOCK1S-07905 O=C(c1ccc(-c2ccccc2)cc1)N1CCC(Nc2ccccc2)c2ccccc21 6.557 30 0 0.603
STOCK1S-08152 c1ccc(-c2nc3c(c(N4CCCCC4)n2)C2(CCCC2)Cc2ccccc2-3)cc1 6.169 18 3 0.426
STOCK1S-08170 c1ccc(Cc2nc3c(c(N4CCCCC4)n2)C2(CCCCC2)Cc2ccccc2-3)cc1 6.483 20 3 0.412
STOCK1S-08263 c1ccc(CNc2ccc(C3c4ccccc4Oc4ccccc43)cc2)cc1 6.585 30 18 0.502
STOCK1S-08341 O=c1c2ccccc2nc(/C=C/c2cn(Cc3ccccc3)c3ccccc23)n1-c1ccccc1 6.559 29 6 0.564
STOCK1S-08611 c1ccc(Cc2nc3c(c(N4CCCC4)n2)C2(CCCCC2)Cc2ccccc2-3)cc1 6.093 15 1 0.531
STOCK1S-08628 c1ccc(C(NCCc2c[nH]c3ccc(CC4CO4)cc23)(c2ccccc2)c2ccccc2)cc1 6.233 4 0 0.587
STOCK1S-08768 c1ccc(-c2cn3c4ccc5ccccc5c4nc3n2-c2ccccc2)cc1 6.098 25 9 0.681
STOCK1S-08819 C(=C1\CCCC2C1=NN(c1ccccc1)C2c1ccccc1)\c1ccccc1 6.488 29 0 0.56
STOCK1S-09009 c1ccc(Cn2c(-c3ccccc3)cn3c4ccc5ccccc5c4nc23)cc1 6.158 28 18 0.508
STOCK1S-09094 O=C(Oc1ccc(C2(c3ccc(OC(=O)c4ccco4)cc3)CCCCC2)cc1)c1ccco1 6.561 27 3 0.833
STOCK1S-09211 c1ccc(C2(c3ccccc3)c3ccccc3Nc3ccccc32)cc1 6.126 30 7 0.757
STOCK1S-09332 c1ccc(Cc2nc3ccccc3n2CCCn2c3ccccc3c3ccccc32)cc1 6.825 29 2 0.905
STOCK1S-09368 c1ccc(C(c2ccccc2)N2CCN(CCCn3c4ccccc4c4ccccc43)CC2)cc1 6.592 29 10 0.719
STOCK1S-09418 c1ccc(N=C2N(c3ccccc3)C(=Nc3ccccc3)N2c2ccccc2)cc1 6.389 30 8 1.203
STOCK1S-09432 C1=Cc2cc(C(c3ccccc3)(c3ccccc3)c3ccccc3)ccc2NC1 6.508 29 10 0.718
STOCK1S-09446 C1=CC(c2ccccc2)c2cc(/C=N/c3cccc4ccccc34)ccc2O1 6.628 29 0 1.192
