ID SCAFFOLD PROPERTY #GEN_TOTAL #GEN_OVERLAP AVGDIFF
STOCK1S-01745 O=c1[nH]c(=O)c2c(nc(Oc3ccc(-c4ccccc4)cc3)n2Cc2ccccc2)[nH]1 3.921 13 0 0.644
STOCK1S-01752 c1ccc(C2CCNc3ccccc32)cc1 3.634 30 0 1.268
STOCK1S-01810 O=C(Oc1ccc2c(c1)C=CCN2)c1ccccc1 3.345 30 5 2.153
STOCK1S-01948 c1ccc(-c2nc(-c3noc(-c4ccccc4)n3)no2)cc1 3.454 22 4 1.142
STOCK1S-01999 O=C1CCCC2=C1C(c1ccccc1)C1=C(CCCC1=O)O2 3.815 30 8 1.276
STOCK1S-02007 C(=N/c1ccccc1)\c1cc2ccccc2[nH]1 3.919 6 0 1.077
STOCK1S-02053 O=C1NC(=O)N(c2cccc3ccccc23)C(=O)/C1=C\c1ccccc1 3.506 29 2 1.346
STOCK1S-02095 c1ccc(CN2CCc3cc4ccccc4nc32)cc1 3.798 29 7 2.288
STOCK1S-02104 c1ccc(Cn2c3ccccc3c3nnc(-n4cccn4)nc32)cc1 3.214 16 1 0.773
STOCK1S-02270 O=C1c2cccc3cccc(c23)C(=O)N1c1ccccc1 3.640 29 1 1.438
STOCK1S-02310 O=C(Oc1ccc2occc2c1)c1ccco1 3.245 30 0 0.769
STOCK1S-02337 c1ccc(/N=c2/ccc3ccccc3o2)cc1 3.665 0 0 NO GENERATIONS
STOCK1S-02393 c1ccc2c(c1)[nH]c1c(N3CCCCC3)ncnc12 3.101 1 0 1.875
STOCK1S-02457 O=C1C(=NNc2c[nH]n(-c3ccccc3)c2=O)C(=O)N(c2ccccc2)C(=O)N1c1ccccc1 3.134 7 0 1.067
STOCK1S-02465 O=C(NC=Cc1ccccc1)c1ccccc1 3.087 30 0 0.715
STOCK1S-02476 O=C(N/N=C\Cc1c[nH]c2ccccc12)c1ccccc1 3.126 18 0 1.764
STOCK1S-02521 C1=C(/C=N/c2ccccc2)C2CC(C1)C2 3.745 30 0 2.364
STOCK1S-02602 O=C(OCc1ccccc1)C1=COC=CC1c1ccccc1 3.941 28 0 0.448
STOCK1S-02711 O=C1/C(=C\c2c[nH]c3ccccc23)C=NN1c1ccccc1 3.584 11 0 1.503
STOCK1S-02712 C1=CN2C(=CC1c1ccncc1)Nc1ccccc12 3.466 22 0 1.574
STOCK1S-02772 O=C1OC(c2ccccc2)=N/C1=C/c1ccccc1 3.031 26 1 1.799
STOCK1S-02787 c1ccc(-n2ccc3nc4ccccc4nc32)cc1 3.574 30 0 0.249
STOCK1S-02802 O=c1oc2ccccc2c2c1C(c1ccco1)C=CO2 3.424 30 0 0.852
STOCK1S-02822 O=C1/C(=C\c2ccccc2)CCc2ccccc21 3.899 30 4 0.989
STOCK1S-02871 O=C1C(=Cc2ccccc2)C(=O)c2ccccc21 3.149 30 8 1.428
STOCK1S-02973 O=c1[nH]c(=O)c2c(nc(N/N=C/C=C/c3ccccc3)n2CCCc2ccccc2)[nH]1 3.157 9 0 0.734
STOCK1S-03084 c1ccc(Cc2ccccc2)cc1 3.277 30 1 1.002
STOCK1S-03099 c1ccc2c(c1)CCc1ccccc1N2 3.529 30 0 0.98
STOCK1S-03123 c1ccc(-n2ccc3nc4ccccc4nc32)cc1 3.574 30 0 0.27
STOCK1S-03134 O=C1NC(c2ccccc2)=C/C1=C\c1ccccc1 3.241 30 11 1.816
STOCK1S-03163 c1ccc(Cc2nc(N3CCCCC3)cc3c2COCC3)cc1 3.735 15 0 0.696
STOCK1S-03264 c1ccc(-c2cnc3ccccc3n2)cc1 3.297 30 7 0.997
STOCK1S-03319 O=C1CCCC2=C1C(c1ccccc1)C=CO2 3.321 30 0 0.908
STOCK1S-03405 C1=CC(c2ccccc2)c2cnn(-c3ccccc3)c2O1 3.910 30 0 0.636
STOCK1S-03442 O=C(NCCc1ccccc1)/C(=C\c1ccccc1)NC(=O)c1ccccc1 3.816 30 5 0.555
STOCK1S-03469 C=C1CCCCC1OC1CCCCO1 3.028 30 0 0.899
STOCK1S-03475 O=C1CCCC2=C1C(c1ccccc1)C=CO2 3.321 30 0 1.406
STOCK1S-03529 c1ccc2c(c1)CCc1ccccc1N2 3.529 30 2 0.998
STOCK1S-03581 O=C1C(=Cc2ccccc2)C(=O)c2ccccc21 3.149 30 7 1.544
STOCK1S-03734 C(=N/c1ccccc1)\c1ccccc1 3.437 30 2 0.912
STOCK1S-03768 c1cc(-n2cccc2)c2cccnc2c1 3.026 30 0 1.324
STOCK1S-03819 C(=N/c1ccc2nccnc2c1)\c1ccccc1 3.380 30 3 0.712
STOCK1S-03859 C1=CC(c2cccnc2)c2c(-c3ccccc3)n[nH]c2O1 3.510 0 0 NO GENERATIONS
STOCK1S-03964 O=C1CCCC2=C1C(Cc1ccccc1)C=CO2 3.396 30 0 1.159
TOTAL GENERATION: 2534, GENERATION WO OVERLAP: 2374
